Time,Sequence Number,Event
3.792,396000,transmit
3.797,349000,ack
3.8,350000,transmit
3.805,349000,ack
3.813,349000,ack
3.821,349000,ack
3.829,349000,ack
3.837,349000,ack
3.845,349000,ack
3.853,349000,ack
3.861,349000,ack
3.869,349000,ack
3.877,349000,ack
3.885,349000,ack
3.893,349000,ack
3.901,349000,ack
3.909,396000,ack
3.909,397000,send
3.909,398000,send
3.909,397000,transmit
3.917,398000,transmit
4.018,397000,ack
4.018,399000,send
4.018,400000,send
4.018,399000,transmit
4.026,400000,transmit
4.026,398000,ack
4.026,401000,send
4.026,402000,send
4.034,401000,transmit
4.042,402000,transmit
4.127,399000,ack
4.127,403000,send
4.127,404000,send
4.127,403000,transmit
4.135,404000,transmit
4.135,400000,ack
4.135,405000,send
4.135,406000,send
4.143,405000,transmit
4.143,401000,ack
4.143,407000,send
4.143,408000,send
4.151,406000,transmit
4.151,402000,ack
4.151,409000,send
4.151,410000,send
4.159,407000,transmit
4.167,408000,transmit
4.175,409000,transmit
4.183,410000,transmit
4.236,403000,ack
4.236,411000,send
4.236,412000,send
4.236,411000,transmit
4.244,412000,transmit
4.244,404000,ack
4.244,413000,send
4.244,414000,send
4.252,413000,transmit
4.252,405000,ack
4.252,415000,send
4.252,416000,send
4.26,414000,transmit
4.26,406000,ack
4.26,417000,send
4.26,418000,send
4.268,415000,transmit
4.268,407000,ack
4.268,419000,send
4.268,420000,send
4.276,416000,transmit
4.276,408000,ack
4.276,421000,send
4.276,422000,send
4.284,417000,transmit
4.284,409000,ack
4.284,423000,send
4.284,424000,send
4.292,418000,transmit
4.292,410000,ack
4.292,425000,send
4.292,426000,send
4.3,419000,transmit
4.308,420000,transmit
4.316,421000,transmit
4.324,422000,transmit
4.332,423000,transmit
4.34,424000,transmit
4.345,411000,ack
4.345,427000,send
4.345,428000,send
4.348,425000,transmit
4.353,412000,ack
4.353,429000,send
4.353,430000,send
4.356,426000,transmit
4.361,413000,ack
4.361,431000,send
4.361,432000,send
4.364,427000,transmit
4.369,414000,ack
4.369,433000,send
4.369,434000,send
4.372,428000,transmit
4.377,415000,ack
4.377,435000,send
4.377,436000,send
4.38,429000,transmit
4.385,416000,ack
4.385,437000,send
4.385,438000,send
4.388,430000,transmit
4.393,417000,ack
4.393,439000,send
4.393,440000,send
4.396,431000,transmit
4.401,418000,ack
4.401,441000,send
4.404,432000,transmit
4.409,419000,ack
4.409,442000,send
4.412,433000,transmit
4.417,420000,ack
4.417,443000,send
4.42,434000,transmit
4.425,421000,ack
4.425,444000,send
4.428,435000,transmit
4.433,422000,ack
4.433,445000,send
4.436,436000,transmit
4.441,423000,ack
4.441,446000,send
4.444,437000,transmit
4.449,424000,ack
4.449,447000,send
4.452,438000,transmit
4.457,425000,ack
4.457,448000,send
4.46,439000,transmit
4.465,426000,ack
4.465,449000,send
4.468,440000,transmit
4.473,427000,ack
4.473,450000,send
4.476,441000,transmit
4.481,428000,ack
4.481,451000,send
4.484,442000,transmit
4.489,429000,ack
4.489,452000,send
4.492,443000,transmit
4.497,430000,ack
4.497,453000,send
4.5,444000,transmit
4.505,431000,ack
4.505,454000,send
4.508,445000,transmit
4.513,432000,ack
4.513,455000,send
4.516,446000,transmit
4.521,433000,ack
4.521,456000,send
4.524,447000,transmit
4.529,434000,ack
4.529,457000,send
4.532,448000,transmit
4.537,435000,ack
4.537,458000,send
4.54,449000,transmit
4.545,436000,ack
4.545,459000,send
4.548,450000,transmit
4.553,437000,ack
4.553,460000,send
4.556,451000,transmit
4.561,438000,ack
4.561,461000,send
4.564,452000,transmit
